Name,Soundex,Frequency
Bigg,B200,1
Bigge,B200,1
Biggen,B250,1
Biggerstaff,B262,2
Biggin,B250,3
Biggins,B252,1
Biggs,B200,17
Bigington,B252,1
Bigland,B245,1
Bignall,B254,1
Bignel,B254,1
Bignell,B254,4
Bignold,B254,1
Bigrigg,B262,1
Bigsby,B210,1
Bigwood,B230,3
Biles,B420,1
Bilkey,B420,1
Bill,B400,3
Billam,B450,1
Billcliff,B424,1
Billett,B430,2
Billey,B400,1
Billiald,B443,1
Billie,B400,1
Billing,B452,6
Billinge,B452,3
Billingham,B452,3
Billinghurst,B452,1
Billings,B452,3
Billington,B452,10
Biloe,B400,1
Bilsbury,B421,2
Bilsdon,B423,1
Bilson,B425,1
Biltcliffe,B432,1
Bilton,B435,7
Bimson,B525,1
Binder,B536,1
Bindley,B534,3
Bingham,B525,9
Bingle,B524,1
Bingley,B524,2
Binks,B520,3
Binley,B540,1
Binney,B500,1
Binnie,B500,2
Binning,B552,1
Binnington,B552,3
Binns,B520,9
Binsted,B523,1
Bint,B530,2
Bintliff,B534,1
Binyon,B550,1
Birbeck,B612,1
Birch,B620,21
Birchall,B624,4
Birche,B620,1
Birchell,B624,1
Birchenall,B625,2
Bircher,B626,2
Birchinall,B625,1
Birchnall,B625,1
Birchwood,B623,2
Bird,B630,49
Birdsall,B632,4
Birdsell,B632,1
Birdsey,B632,2
Birkenhead,B625,1
Birkenshaw,B625,2
Birket,B623,1
Birkett,B623,1
Birkin,B625,1
Birkinshaw,B625,3
Birkinson,B625,1
Birkmyre,B625,1
Birks,B620,3
Birky,B620,1
Birlison,B642,1
Birmingham,B655,1
Birrell,B640,1
Birt,B630,1
Birtles,B634,2
Birtt,B630,1
Birtwhistle,B632,4
Bisbrowne?,B216,1
Bisby,B210,1
Biscoe,B200,1
Bisgood,B230,1
Bishop,B210,41
Bishopp,B210,1
Bisll,B240,1
Biss,B200,1
Bissaker,B226,1
Bisscker,B260,1
Bissell,B240,1
Bissett,B230,2
Bissix,B220,1
Biston,B235,1
Bithell,B340,1
Bittcliff,B324,1
Bitter,B360,1
Bixley,B240,1
Bizo,B200,1
Black,B420,13
Blackall,B424,2
Blackaller,B424,1
Blackbond,B421,1
Blackbourn,B421,1
Blackbrough,B421,1
Blackburn,B421,23
Blackburne,B421,1
Blackett,B423,2
Blackham,B425,2
Blackhurst,B426,1
Blackledge,B424,2
Blackler,B424,1
Blackley,B424,1
Blacklidge,B424,1
Blacklock,B424,1
Blackman,B425,6
Blackmore,B425,9
Blacknell,B425,1
Blackshaw,B420,4
Blackwall,B424,1
Blackwell,B424,4
Blackwill,B424,1
Blaclidge,B424,1
Blades,B432,2
Bladon,B435,2
Blagg,B420,1
Blaikie,B420,1
Blain,B450,1
Blair,B460,4
Blaize,B420,1
Blake,B420,28
Blakeburn,B421,1
Blakeley,B424,8
Blakeman,B425,2
Blakemore,B425,4
Blaker,B426,2
Blakes,B422,1
Blakeson,B422,1
Blakeston,B422,1
Blakey,B420,3
Blakiston,B422,1
Blamer,B456,1
Blamey,B450,3
Blamires,B456,1
Blamy,B450,1
Blanch,B452,1
Blanchard,B452,6
Blanches,B452,1
Blanchflower,B452,2
Blanckenhagen,B452,1
Bland,B453,13
Blandford,B453,3
Blaney,B450,1
Blank,B452,1
Blanshard,B452,1
Blashker,B422,1
Blason,B425,1
Blastock,B423,1
Blatcher,B432,1
Blatherwick,B436,3
Blaver,B416,1
Blaxill,B424,1
Blay,B400,1
Blaylock,B442,2
Blaymire,B456,1
Blayney,B450,2
Blazdell,B423,1
Blazedale,B423,1
Blea,B400,1
Bleakley,B424,1
Bleasby,B421,2
Bleasdale,B423,3
Bleasdall,B423,1
Blee,B400,1
Blencowe,B452,1
Blenkinsop,B452,2
Blenkorne,B452,1
Blew,B400,2
Blewett,B430,3
Blewitt,B430,2
Blews,B420,1
Blezard,B426,1
Blick,B420,1
Bligdon,B423,1
Bligh,B420,5
Blight,B423,4
Blinco,B452,2
Blincoe,B452,1
Blinkhorn,B452,3
Blinks,B452,1
Blinman,B455,1
Bliss,B420,4
Blitz,B432,1
Blizard,B426,5
Block,B420,1
Blockley,B424,2
Blocksage,B422,1
Bloe,B400,1
Blohm,B450,1
Blomer,B456,1
Blomiley,B454,1
Blomley,B454,1
Bloom,B450,3
Bloomer,B456,3
Bloomfield,B451,7
Bloor,B460,3
Bloore,B460,1
Blore,B460,1
Bloss,B420,1
Blot,B430,1
Blott,B430,2
Blow,B400,4
Blower,B460,4
Blowers,B462,2
Blows,B420,2
Bloxham,B425,1
Bloy,B400,2
Bloyd,B430,1
Bloye,B400,3
Bluck,B420,2
Blunday,B453,1
Blundell,B453,6
Blunden,B453,3
Blundy,B453,1
Blunsdon,B452,1
Blunt,B453,8
Blyth,B430,8
Blythe,B430,7
Blything,B435,1
Blyton,B435,1
Boaden,B350,3
Boak,B200,1
Boaler,B460,1
Boalter,B436,1
Boam,B500,2
Board,B630,4
Boardman,B635,9
Boas,B200,1
Bobbett,B130,2
Bobby,B100,1
Bocking,B252,1
Boddington,B352,2
Boddy,B300,5
Boden,B350,6
Bodicote,B323,1
Bodilly,B340,1
Bodin,B350,1
Bodinnah,B350,1
Bodkin,B325,1
Bodle,B340,1
Bodman,B355,1
Bodray,B360,1
Body,B300,2
Boe,B000,1
Boffin,B150,1
Boggan,B250,1
Boggis,B220,4
Bointon,B535,1
Bolaffey,B410,1
Bolam,B450,1
Boland,B453,1
Bolas,B420,1
Bold,B430,2
Bolderson,B436,1
Boldinson,B435,1
Boler,B460,1
Boley,B400,1
Bolez,B420,1
Bolland,B453,2
Bolley,B400,1
Bollond,B453,1
Bollough,B420,1
Bolson,B425,1
Bolsover,B421,1
Bolt,B430,5
Bolter,B436,1
Bolton,B435,30
Boltwood,B433,1
Bolus,B420,1
Bolwell,B440,1
Boman,B550,2
Bomyer,B560,1
Bond,B530,26
Bonde,B530,1
Bonds,B532,1
Bone,B500,16
Bones,B520,1
Boney,B500,1
Bonfield,B514,1
Boniface,B512,1
Bonnell,B540,1
Bonner,B560,3
Bonnet,B530,1
Bonnett,B530,1
Bonney,B500,5
Bonniface,B512,1
Bonnington,B552,1
Bonny,B500,2
Bonolly,B540,1
Bonser,B526,2
Bonwick,B520,1
Bonython,B535,2
Boobyer,B160,1
Boocock,B220,2
Boodle,B340,1
Booer,B600,1
Booker,B260,7
Bool,B400,2
Boole,B400,1
