"AB_POSTCODE","AB_ADDRESS","UPRN","PARENT_UPRN","CLASS","CLASS_DESC"
"NE426BT","28 BEWICK LANE OVINGHAM PRUDHOE",100110642997,NA,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426AP","33 DENE GARTH OVINGHAM PRUDHOE",100110643997,NA,"RD04","Terraced"
"NE426AL","3 HORSLEY ROAD OVINGHAM PRUDHOE",100110644699,NA,"RD04","Terraced"
"NE426AZ","60 PIPER ROAD OVINGHAM PRUDHOE",100110645707,NA,"RD04","Terraced"
"NE426EH","6 SPRINGFIELD OVINGTON PRUDHOE",100110646118,NA,"RD02","Detached"
"NE426DZ","8 THE GREEN OVINGTON PRUDHOE",100110646386,NA,"RD03","Semi-Detached"
"NE426AS","24 WINDSOR CRESCENT OVINGHAM PRUDHOE",100110646849,NA,"RD03","Semi-Detached"
"NE426AS","43 WINDSOR CRESCENT OVINGHAM PRUDHOE",100110646868,NA,"RD04","Terraced"
"NE418HB","66 DENE ROAD WYLAM",100110648235,NA,"RD04","Terraced"
"NE418HB","87 DENE ROAD WYLAM",100110648256,NA,"RD04","Terraced"
"NE418JT","5 HAGG BANK COTTAGES HAGG BANK WYLAM",100110648380,NA,"RD04","Terraced"
"NE418EX","9 TYNEDALE CLOSE WYLAM",100110648562,NA,"RD04","Terraced"
"NE418EX","38 TYNEDALE CLOSE WYLAM",100110648591,NA,"RD04","Terraced"
"NE418ES","19 WOODVALE GARDENS WYLAM",100110648666,NA,"RD04","Terraced"
"NE426BG","ANCROFT HORSLEY ROAD OVINGHAM PRUDHOE",100110726170,NA,"RD02","Detached"
"NE418HT","HAVERBRACK ELM BANK ROAD WYLAM",100110726889,NA,"RD03","Semi-Detached"
"NE418BE","BRYNTHORN HOLEYN HALL ROAD WYLAM",100110726931,NA,"RD03","Semi-Detached"
"NE418BQ","EAST WING HOLEYN HALL HOLEYN HALL ROAD WYLAM",100110764314,100110726939,"RD04","Terraced"
"NE437DP","COTTAGE 5 THE OLD FORGE FORGE NEWTON STOCKSFIELD",100110764724,NA,"RD03","Semi-Detached"
"NE426AT","10 CASTLE VIEW OVINGHAM PRUDHOE",200000921271,NA,"RD04","Terraced"
"NE418DS","1 INGHAM TERRACE WYLAM",200000921687,NA,"RD04","Terraced"
"NE418DS","14 INGHAM TERRACE WYLAM",200000921692,NA,"RD04","Terraced"
"NE426QH","3 NORTH MEADOW MEADOWS OVINGHAM PRUDHOE",200000924117,NA,"RD02","Detached"
"NE426AQ","THE OLD SCHOOL HOUSE WEST ROAD OVINGHAM PRUDHOE",200000924146,NA,"RD03","Semi-Detached"
"NE426EF","OVERDENE COTTAGE OVERDENE ACCESS ROAD OVINGTON PRUDHOE",200000924156,NA,"RD02","Detached"
"NE418AQ","SHIP INN MAIN ROAD WYLAM",200000925120,NA,"CR06","Public House / Bar / Nightclub"
"NE150HZ","HORSLEY MARSH THE BUNGALOW C 257 HEXHAM ROAD TO RUDCHESTER ROUNDABOUT HEDDON-ON-THE-WALL NEWCASTLE UPON TYNE",200000925149,200000925930,"RD02","Detached"
"NE437TX","GARDEN COTTAGE STYFORD HALL C 252 BYWELL TO HIGH BARNS JUNCTION STOCKSFIELD",200000925272,200000925271,"RD02","Detached"
"NE426AZ","70 PIPER ROAD OVINGHAM PRUDHOE",10094012110,NA,"RD03","Semi-Detached"
"NE426AB","3 THE HILL OVINGHAM PRUDHOE",200000921269,NA,"RD03","Semi-Detached"
"NE426AD","1 DUKES COTTAGES MAIN ROAD OVINGHAM PRUDHOE",200000921317,NA,"RD03","Semi-Detached"
"NE418DS","10 INGHAM TERRACE WYLAM",200000921688,NA,"RD04","Terraced"
"NE150HY","2 HOLEYN HALL COTTAGES B 6528 HORSLEY TO HOLEYN HEDDON-ON-THE-WALL NEWCASTLE UPON TYNE",200000925147,200000925929,"RD04","Terraced"
"NE437UQ","BEECH CLOSE LODGE B C 251 SHAW HOUSE TO NEWTON HALL NEWTON STOCKSFIELD",200000925267,10090301137,"CB","Ancillary Building"
"NE418BA","FAIRBAIRN HOUSE HOLEYN HALL ROAD WYLAM",10093518993,NA,"RD02","Detached"
"NE426AZ","73 PIPER ROAD OVINGHAM PRUDHOE",10094012129,NA,"RD03","Semi-Detached"
"NE426BR","3 HAWTHORN GARDENS OVINGHAM PRUDHOE",10094012121,NA,"RD03","Semi-Detached"
"NE418BF","4 FORSTER GARDENS WYLAM",10093519001,NA,"RD04","Terraced"
"NE150NY","IN 2 DEVELOPMENTS MOBILE DATAFORCE EUROPE LTD UNIT 3 BEWICK HOUSE HORSLEY BUSINESS CENTRE HORSLEY NEWCASTLE UPON TYNE",10014491325,10000848749,"CO01","Office / Work Studio"
"NE426EE","BENLOW HOUSE C 254 OLD NAFFERTON JUNCTION TO OVINGTON OVINGTON PRUDHOE",10014492286,NA,"RD02","Detached"
"NE437TW","THE ARTS COTTAGE MOWDEN HALL U 8194 NEWTON HALL TO STELLING HALL NEWTON STOCKSFIELD",10024652964,10090299615,"CE02","Children’s Nursery / Crèche"
"NE418AQ","FLAT 1 THE COFFEE TREE MAIN ROAD WYLAM",10024653016,100110807202,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE426DF","FIELD HOUSE FARM BUNGALOW C 254 OVINGTON TO OVINGHAM OVINGHAM PRUDHOE",10014492277,NA,"RD02","Detached"
"NE426DN","HOUSE 2 ORCHARD ORCHARD GRANGE C 254 OVINGTON MAIN ROAD THROUGH VILLAGE OVINGTON PRUDHOE",10023734253,10090302184,"RD02","Detached"
"NE437AL","CLAIRE COLLINSON TO MOWDEN HALL CROSS ROADS STOCKSFIELD LEGAL BREAK 90 LTD UNIT 6 BEARL FARM INDUSTRIAL UNITS B 6309 STOCKSFIELD",10023734307,10023734301,"CO01","Office / Work Studio"
"NE180LL","E MOFFITT AND SON 7 THE OLD COW BARN VALLUM FARM EAST WALLHOUSES NEWCASTLE UPON TYNE",10091033118,10000847040,"CI03","Workshop / Light Industrial"
"NE418BA","BLENKINSOP HOUSE HOLEYN HALL ROAD WYLAM",10093518990,NA,"RD02","Detached"
"NE437AL","CLIFFORD JAMES CONSULTANTS LTD UNIT 8 BEARL FARM INDUSTRIAL UNITS B 6309 STOCKSFIELD TO MOWDEN HALL CROSS ROADS STOCKSFIELD",10023734309,10023734301,"CO01","Office / Work Studio"
"NE418DP","JOOLS HAIR DESIGN 8 WYLAM MILL MAIN ROAD WYLAM",10000020352,200000925841,"CR08","Shop / Showroom"
"NE150NX","NORTH DUNSLAWHOLM FARM NORTH DUNSLAW HOLM FARM HORSLEY NEWCASTLE UPON TYNE",10000020842,NA,"RD02","Detached"
"NE180LJ","THE ORCHARD B 6309 WELTON TO WHITTLE DENE RESERVOIR WELTON NEWCASTLE UPON TYNE",10000844846,NA,"RD02","Detached"
"NE437XA","1 SHILDON HILL FARM COTTAGES C 246 AYDON JUNCTION TO WELTON NEWTON STOCKSFIELD",10000844849,NA,"RD03","Semi-Detached"
"NE418JA","8 WYLAM GRANGE STATION ROAD WYLAM",10094524331,100110764307,"RD06","Self Contained Flat (Includes Maisonette / Apartment)"
"NE418AX","20 ALGERNON TERRACE WYLAM",100110648088,NA,"RD04","Terraced"
"NE418EU","13 BLUEBELL CLOSE WYLAM",100110648152,NA,"RD02","Detached"
"NE418HB","45 DENE ROAD WYLAM",100110648226,NA,"RD02","Detached"
"NE418HA","104 DENE ROAD WYLAM",100110648273,NA,"RD02","Detached"
"NE418EJ","18 HACKWORTH GARDENS WYLAM",100110648372,NA,"RD04","Terraced"
